"fish_id","feed_id","day_feed","prop_pos","ts_feeding","month","tl_mm","weight_g","w_gain","l_gain","year","arcsin_prop","id_month","date","ndate","year_f","nyear","nmonth","doy","new_time"
"T475056_1","d2feed_14",3,0.00978260869565217,2022-08-24 08:30:00,8,310,443,582,87,2022,0.0990690466009456,"d2feed_14_2022",19230,19230,"2022",2022,8,238,344
"T475056_1","d2feed_2",1,0.0225763612217796,2022-06-30 09:00:00,6,310,443,582,87,2022,0.150825509931668,"d2feed_2_2022",19173,19173,"2022",2022,6,181,38
"T475056_1","d2feed_13",6,0.0346153846153846,2022-08-18 05:30:00,8,310,443,582,87,2022,0.187142552145718,"d2feed_13_2022",19227,19227,"2022",2022,8,235,332
"T475056_1","d2feed_1",3,0.165876777251185,2022-06-24 10:00:00,6,310,443,582,87,2022,0.419473580221359,"d2feed_1_2022",19169,19169,"2022",2022,6,177,14
"T475056_1","d2feed_11",3,0.0382231404958678,2022-08-11 09:00:00,8,310,443,582,87,2022,0.196774800157556,"d2feed_11_2022",19217,19217,"2022",2022,8,225,290
"T475056_1","d2feed_3",1,0.376893939393939,2022-07-07 09:00:00,7,310,443,582,87,2022,0.661013106091077,"d2feed_3_2022",19180,19180,"2022",2022,7,188,80
"T475056_1","d2feed_11",1,0.19054441260745,2022-08-11 09:00:00,8,310,443,582,87,2022,0.451720303193214,"d2feed_11_2022",19215,19215,"2022",2022,8,223,280
"T475056_1","d2feed_5",2,0.00864553314121038,2022-07-18 08:30:00,7,310,443,582,87,2022,0.0931158619515275,"d2feed_5_2022",19192,19192,"2022",2022,7,200,152
"T475056_1","d2feed_4",4,0.0199370409233998,2022-07-14 08:30:00,7,310,443,582,87,2022,0.141672027137762,"d2feed_4_2022",19190,19190,"2022",2022,7,198,140
"T475056_1","d2feed_16",1,0.192261185006046,2022-09-05 08:00:00,9,310,443,582,87,2022,0.453902246431293,"d2feed_16_2022",19240,19240,"2022",2022,9,248,384
"T475056_1","d2feed_14",2,0.0241837968561064,2022-08-24 08:30:00,8,310,443,582,87,2022,0.156145134855847,"d2feed_14_2022",19229,19229,"2022",2022,8,237,340
"T475056_1","d2feed_1",6,0.00940975192472198,2022-06-24 10:00:00,6,310,443,582,87,2022,0.0971566540349444,"d2feed_1_2022",19172,19172,"2022",2022,6,180,32
"T475056_1","d2feed_14",6,0.0433839479392625,2022-08-24 08:30:00,8,310,443,582,87,2022,0.209824382019613,"d2feed_14_2022",19233,19233,"2022",2022,8,241,356
